State,2019,2018,Educational Attainment
Alabama,"$56,200.00","$50,841.00",86.2%
Alaska,"$78,394.00","$69,979.00",92.8%
Arizona,"$70,674.00","$63,411.00",87.1%
Arkansas,"$54,539.00","$50,683.00",86.6%
California,"$78,105.00","$71,766.00",83.3%
Colorado,"$72,499.00","$74,357.00",91.7%
Connecticut,"$87,291.00","$74,131.00",90.6%
Delaware,"$74,194.00","$66,190.00",90%
District of Columbia,"$93,111.00","$87,304.00",90.9%
Florida,"$58,368.00","$55,634.00",88.2%
Georgia,"$56,628.00","$56,832.00",87.1%
Hawaii,"$88,006.00","$81,559.00",92%
Idaho,"$65,988.00","$59,792.00",90.8%
Illinois,"$74,399.00","$71,416.00",89.2%
Indiana,"$66,693.00","$60,977.00",88.8%
Iowa,"$66,054.00","$69,963.00",92.1%
Kansas,"$73,151.00","$65,096.00",91%
Kentucky,"$55,662.00","$55,543.00",86.3%
Louisiana,"$51,707.00","$50,878.00",85.2%
Maine,"$66,546.00","$59,726.00",92.6%
Maryland,"$95,572.00","$87,785.00",90.2%
Massachusetts,"$87,707.00","$87,909.00",90.8%
Michigan,"$64,119.00","$61,544.00",90.8%
Minnesota,"$81,426.00","$73,118.00",93.1%
Mississippi,"$44,787.00","$43,556.00",84.5%
Missouri,"$60,597.00","$62,844.00",89.9%
Montana,"$60,195.00","$58,724.00",93.6%
Nebraska,"$73,071.00","$68,799.00",91.4%
Nevada,"$70,906.00","$62,985.00",86.7%
New Hampshire,"$86,900.00","$82,820.00",93.1%
New Jersey,"$87,726.00","$75,520.00",89.8%
New Mexico,"$53,113.00","$49,158.00",85.6%
New York,"$71,855.00","$68,493.00",86.8%
North Carolina,"$61,159.00","$54,336.00",87.8%
North Dakota,"$70,031.00","$67,710.00",92.6%
Ohio,"$64,663.00","$62,750.00",90.4%
Oklahoma,"$59,397.00","$55,420.00",88%
Oregon,"$74,413.00","$70,418.00",90.7%
Pennsylvania,"$70,582.00","$65,693.00",90.5%
Rhode Island,"$70,151.00","$63,394.00",88.8%
South Carolina,"$62,028.00","$58,485.00",87.5%
South Dakota,"$64,255.00","$60,540.00",91.7%
Tennessee,"$56,627.00","$57,076.00",87.5%
Texas,"$67,444.00","$60,868.00",83.7%
Utah,"$84,523.00","$78,463.00",92.3%
Vermont,"$74,305.00","$71,335.00",92.7%
Virginia,"$81,313.00","$78,549.00",89.7%
Washington,"$82,454.00","$81,170.00",91.3%
West Virginia,"$53,706.00","$51,489.00",86.9%
Wisconsin,"$67,355.00","$63,764.00",92.2%
Wyoming,"$65,134.00","$63,672.00",93.2%
