State,Rate,Ranking
North Dakota,2.4,1
Vermont,2.4,1
New Hampshire,2.5,3
Utah,2.6,4
Hawaii,2.7,5
Iowa,2.7,5
Colorado,2.8,7
South Carolina,2.8,7
Virginia,2.8,7
Idaho,2.9,10
Massachusetts,2.9,10
Alabama,3,12
Maine,3,12
Nebraska,3,12
Florida,3.1,15
Kansas,3.2,16
Minnesota,3.2,16
Indiana,3.3,18
Missouri,3.3,18
Oklahoma,3.3,18
South Dakota,3.3,18
Wisconsin,3.3,18
Georgia,3.4,23
Tennessee,3.4,23
Arkansas,3.5,25
Montana,3.5,25
Texas,3.5,25
Maryland,3.6,28
New Jersey,3.6,28
Rhode Island,3.6,28
Wyoming,3.6,28
Connecticut,3.7,32
Oregon,3.7,32
Delaware,3.8,34
Nevada,3.9,35
North Carolina,3.9,35
California,4,37
Illinois,4,37
New York,4,37
Michigan,4.1,40
Ohio,4.1,40
Kentucky,4.3,42
Washington,4.3,42
Pennsylvania,4.4,44
Arizona,4.7,45
Louisiana,4.8,46
New Mexico,4.9,47
West Virginia,4.9,47
Mississippi,5.4,49
District of Columbia,5.5,50
Alaska,6.1,
